v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,class
 1.01926,-0.25127, 1.27949, 0.93058,-0.35724, 0.87308,-0.96726,-1.85301, 0.84432, 0.41105,-1.10343,-0.31662, 0.76306,-0.11583, 0.95301, 0.58947, 0.66712,-0.36376, 0.18386, 0.29506, 7.15405, 7.36694, 6.12826, 5.64527, 6.09092, 6.88160, 6.89967, 5.56630, 7.30012, 6.87177, 6.85993, 8.21531, 8.61217, 5.90912, 7.42424, 7.25552, 6.41574, 6.72824, 5.22349, 7.02482, 7.45156, 6.08103, 6.09269, 6.53673, 6.72845, 6.04892, 6.58791, 7.98123, 7.16755, 5.85850, 8.03983, 6.19925, 5.63904, 6.70742, 7.48152, 5.73428, 6.58923, 6.62380, 5.90545, 7.73285, 7.90564, 8.80437, 8.49855, 8.12289, 6.68873, 6.94897, 0.76088,-0.54315, 0.63667, 0.07311,-0.85882,-0.95709,-0.82422, 1.21863,-1.18115,-1.39358,-0.26870, 0.63031,-1.12224,-1.56420, 0.66503, 0.08869,-1.75126,-0.49737,-0.07592, 0.11678,-1.83362, 1.88443, 2.21580, 0.59269,-0.82324,-1.09405, 1.37998, 0.33631,-0.99732,-0.99378,-0.99274, 0.91969, 0.06608, 0.73249, 0.20830,-0.52519, 1.89200, 0.00008,-0.89846,-0.32458,-0.31869, 0.30480, 1.94834, 2.24957, 0.06003, 1.65164, 0.58768, 0.34879,-1.95582, 0.13214,-0.53593,-0.66524, 0.47275, 1.23512,-1.30875,-0.25459, 2.64260,-0.34126,-0.35026,-1.78228, 0.34693,-0.09285,cylinder
 0.31494,-0.48903,-0.13956, 0.35215,-0.57508, 0.52799,-1.67472, 0.54710,-3.00980, 2.12861,-0.56005,-0.72084,-2.67417, 0.67957, 1.26323, 0.26315, 9.10275, 6.60555, 8.52165, 9.82836, 7.31928, 7.77316, 6.12597, 6.50984, 6.94824, 8.68014, 8.30495, 6.02392, 6.88337, 6.27221, 5.86921, 6.37461, 7.56534, 7.76879, 8.11497, 7.37495, 5.36622, 6.81522, 7.37060, 6.65315, 6.50087, 7.45461, 9.32170, 8.20798, 7.21192, 5.74263, 5.85632, 6.29357, 5.98417, 6.69433, 7.97900, 5.93400, 6.25310, 6.58463, 4.84151, 7.32825, 6.13046, 7.72511, 8.30039, 5.91433, 6.07633, 6.07413, 6.90237, 7.12137, 8.30807, 5.80013, 7.10812, 5.97512, 8.33622, 4.82606, 6.14167, 6.24196, 6.27222, 7.04840, 5.82952, 7.50370, 7.98551, 7.24217, 6.72025, 7.14226, 7.15666, 8.38681, 5.08379, 9.21332, 8.36305, 5.63370, 6.52470, 6.87057, 6.55931, 6.39280, 6.69536, 6.91864, 8.70176, 6.38888, 6.50904, 6.86903, 7.74226, 0.70891, 0.50178, 1.25105,-1.80992, 0.72356, 0.28184,-0.51901,-0.26162,-1.87703, 0.11023,-0.93611,-1.31286,-1.31359,-0.82402,-0.61833,-0.12561,-0.79690,-2.04892,-0.54335,-0.36309, 0.93533, 1.53869, 0.22671,-1.10526,-1.17075, 0.67654, 1.32680,-0.16061, 0.24153,-0.74530,-0.94392,cylinder
 0.14690, 0.72750,-0.10636, 0.23979,-1.46296,-0.33201, 0.91924, 0.79647, 0.53933,-1.12199, 0.01935,-0.05700, 0.46025,-0.10411, 0.22753, 0.66925, 0.09556, 5.33246, 6.05259, 6.12988, 5.00668, 4.83559, 5.07537, 7.42356, 5.25601, 4.24123, 5.54085, 5.93286, 6.38414, 7.50301, 5.90934, 4.77177, 6.01812, 4.77139, 5.75396, 5.09414, 5.98411, 3.92742, 6.45273, 5.78765, 5.72395, 4.59330, 8.12574, 6.22256, 7.80884, 6.85179, 6.42878, 5.73671, 6.75023, 7.15042,-1.52656, 1.64455, 0.34440,-0.21406, 1.20722, 0.41181,-0.14827, 0.96909, 0.07217,-0.39165,-1.03673, 0.71389, 0.79303, 0.13475, 1.19092, 0.86701, 0.30499, 2.59072, 1.20975, 0.99596, 0.75920, 0.03532,-0.79027,-0.69197,-0.49820, 0.70146, 1.52131,-2.40590,-0.63422,-0.07569,-0.18697,-1.27695,-0.65967, 0.92060,-0.41113, 1.88368,-0.03466,-0.19759, 1.79588, 0.26924,-0.91898, 1.51189, 0.07941, 0.72365, 0.77740, 0.24947, 0.64977, 0.87334,-0.87200, 0.67208, 0.16909,-0.58208, 0.05446, 0.64452, 0.22777, 0.32297,-0.28964, 1.79453, 1.46086,-1.74318, 0.18651, 0.20863, 1.18343, 1.21492, 0.71576,-0.83225, 0.78315, 0.98890,-0.63212,-0.77501, 0.77565,-0.46385,-1.67241, 0.24520, 0.32670,-0.80173,-1.23148, 1.15405,cylinder
-0.07358, 0.40449, 0.05545,-1.67764, 1.75864, 0.54595, 0.81473, 0.60840, 1.72762,-1.14388, 0.47139,-0.11490, 0.07842, 0.26650, 1.73424, 0.05389, 0.53337,-1.94399, 0.42407, 2.28465, 2.11120,-0.97857,-0.17658, 0.65645, 2.45853, 0.10768,-0.16970,-1.59809, 0.20516, 4.49966, 3.87487, 5.07725, 5.17296, 5.75370, 4.42314, 2.67260, 4.58937, 4.06914, 6.01830, 3.45518, 3.84250, 2.56756, 3.75382, 3.10332, 3.70297, 3.96721, 5.24773, 4.81822, 3.84946, 4.08626, 5.87249, 4.87834, 4.97632, 3.64618, 4.80908, 5.44522, 4.55811, 4.34445, 5.64643, 3.67177, 7.06090, 5.56525, 4.80995, 5.87363, 5.45034, 4.14151, 5.77517, 4.41808, 5.31210, 5.06249, 3.88668, 5.07828, 5.34167, 4.08522, 3.87344, 5.43741, 4.29613, 3.42338, 4.78724, 4.02059, 5.33155, 5.21030, 3.50747, 1.32885,-0.30702,-1.83804,-0.18087, 0.62141, 0.41694, 0.15672, 0.56722, 0.63526,-0.99980,-1.97383,-0.77546,-0.20305, 1.76882,-0.14073, 1.00616,-2.21985,-0.14614,-1.36353, 0.62402, 0.05187, 0.04283, 2.47183, 0.89904, 0.86590,-1.15944, 0.40742, 0.92649, 0.34381, 0.31738, 0.43740,-0.69111,-0.83923,-0.36675,-1.09876,-0.69095,-0.52230, 0.75773,-0.80422,-0.56489,-0.41578,-0.03461, 1.73179,-0.76329,-0.26437,cylinder
 0.44500,-1.20409, 1.12826,-1.10381,-1.24639, 2.31440,-0.39090, 2.39591,-0.64704,-0.04491,-0.65479, 0.73301,-1.18927,-1.77408,-0.78963,-1.59759,-1.13742,-0.74908,-0.67517, 0.76632, 1.85796,-0.13320, 0.59168, 1.47895,-0.73012,-0.62940, 0.37404, 0.09496,-1.06388, 2.40530, 0.31364,-0.66617, 5.40260, 6.20863, 6.47942, 6.43855, 6.28458, 6.60579, 4.83927, 5.33906, 7.30865, 5.92215, 5.63706, 5.41110, 7.21831, 6.81103, 5.11740, 5.53067, 5.25783, 6.75631, 7.03177, 6.72068, 5.42625, 6.01392, 5.91654, 4.94170, 6.29256, 6.59143, 5.92584, 6.72627, 3.69435, 3.69404, 5.31624, 5.48216, 5.64312, 5.84008, 6.83216, 7.78719, 4.09028, 4.17437, 4.60907, 6.92729, 4.32623, 6.10333, 4.65637, 4.19924, 5.17247, 5.94220,-0.64303, 0.27858, 0.01155, 0.05233, 1.55291, 0.31137, 0.56586, 0.84642, 0.08159,-1.01769,-0.46207, 0.45958, 0.15540, 2.05777,-0.05548,-1.13119,-0.72416, 1.17903, 0.24876, 0.75234,-1.12880,-2.51472, 1.25222, 0.27278, 1.15848, 0.80207,-1.50864,-0.09487,-1.03765,-0.84847, 0.07594, 0.71729, 0.72668, 1.19077,-1.37626,-2.62918, 1.17877, 0.80205,-0.48384, 0.16401, 0.08049, 1.34805,-0.74518, 0.29610,-2.35800,-0.80831,-1.31237, 2.08420, 1.52576,-0.54722,cylinder
-0.29795,-0.35470,-1.83054, 0.68957,-0.00365, 0.49744, 0.10434, 1.79122,-0.26320,-0.15883,-0.90965,-0.30434, 1.49799, 0.01917,-1.41273, 0.10894,-0.25330,-0.56646, 0.64192,-0.38029,-0.46142, 0.22870,-0.09591, 1.65275, 0.22255, 0.44725, 0.16649, 0.06381, 0.88037, 1.01186,-0.43094, 3.69556, 7.23050, 5.08944, 6.21468, 6.42110, 4.44406, 7.11850, 7.31303, 6.24413, 6.07726, 5.69410, 4.21766, 4.11171, 4.38074, 5.46144, 6.87662, 6.58210, 3.91304, 7.48301, 6.85222, 4.89342, 6.32038, 5.99140, 6.96927, 7.25677, 4.74300, 5.25428, 6.23111, 6.69443, 7.34674, 4.81566, 7.32937, 6.81184, 5.63478, 5.96230, 6.34591, 5.79138, 4.89312, 5.98753, 4.24802, 4.35716, 7.70366, 6.31865, 6.04261, 5.00436, 7.77405, 6.55556, 4.56357, 5.17894, 5.00666, 5.57698, 6.89336, 4.97023, 6.94639, 7.63890, 5.67218, 5.08109, 6.35203, 6.82116, 5.84881, 6.38425, 6.02765, 4.39845, 5.05599, 6.10219, 6.69505, 6.28413,-0.52849, 0.42759,-1.42990,-1.04334,-1.98302,-0.77705, 0.40041,-0.08606,-0.33269,-0.08287,-0.22294, 0.26930, 0.09539, 0.64094,-0.13601, 0.54439,-0.62667, 1.14065, 0.02580, 0.50098, 0.09531, 0.05474, 0.44310, 0.09651,-0.70290,-1.55452,-0.84849,-0.42970,-0.44954, 0.52019,cylinder
 0.98093, 0.66829,-0.35792, 1.10863, 0.79814,-0.67021,-0.16117,-0.81684,-1.24987, 1.59880, 0.20456,-1.80947,-0.59210, 1.78829, 0.35527,-1.70186, 1.15455, 1.16148,-0.21853, 5.71928, 4.77481, 6.28260, 4.73066, 6.72423, 6.15101, 5.58190, 4.63052, 4.97044, 5.86261, 4.74699, 5.09136, 4.93490, 6.08341, 6.24154, 5.16067, 5.57010, 6.19874, 5.67543, 7.15874, 6.45334, 5.61621, 6.36930, 4.88955, 5.24971, 6.14325, 5.37874, 5.07151, 4.61651, 3.93813, 3.28077, 5.43266, 4.43139, 3.27650, 5.70332, 5.84369, 4.68395, 6.14196, 5.99826, 7.28352, 5.86227, 5.28001, 6.27347, 5.73584, 3.97125, 6.45189, 3.09664, 4.75655, 4.93564, 6.07705, 5.81560, 6.47598, 4.87684, 4.89932, 5.64999, 4.42827, 3.71796, 5.82780, 7.54132, 6.84835, 7.86598, 7.36997, 4.82635, 6.22569, 5.50643, 5.27941, 4.24152, 5.95245, 5.67528, 6.13033, 4.71485, 7.40281, 3.04123, 6.43491, 4.68607, 5.13866, 6.85244, 6.28544, 5.23821, 4.39433, 3.88278, 4.22355, 6.99363, 6.85797, 5.57435, 4.24543, 4.91201, 4.49039, 6.23518, 0.03974, 0.03645,-1.90426, 0.74839,-0.29717,-1.97287, 0.51262,-0.10775, 0.60086, 0.88215,-0.32448,-0.91299, 1.18415,-1.20177, 0.09585, 0.20073,-0.41018,-0.45316, 0.35741,-0.14018,cylinder
 1.81413,-0.54232,-0.79750,-0.77247, 1.07550, 0.03192, 0.67816, 0.32683,-1.18741,-0.06058,-0.47194,-1.50639, 0.66918,-0.20956,-0.95848,-0.27851, 0.11132,-1.15193, 0.90633, 7.66694, 5.47864, 6.19763, 7.05793, 6.47594, 7.44638, 4.77238, 5.86475, 5.11776, 5.51151, 4.52763, 7.11284, 6.57025, 7.07440, 5.55563, 5.11613, 4.45055, 6.31627, 7.58219, 6.99389, 4.09056, 6.45850, 6.61287, 6.50845, 5.43813, 6.05855, 6.51280, 7.10599, 5.71778, 5.40679, 6.13024, 6.20214, 7.21580, 6.91499, 6.06133, 5.57655, 5.00575, 6.15151, 4.62454, 5.34823, 6.17086, 0.07364, 0.42769, 0.57855, 0.77463, 0.44374, 0.88327,-0.86064, 0.70713, 1.18082,-0.35210,-0.84968,-0.57093, 1.21700, 0.38555, 3.01159,-2.52634, 0.05955,-0.11550, 0.06197,-0.19400,-0.11380, 2.79340,-0.69132, 0.26710, 0.32442, 1.24066,-0.49183,-1.93645,-1.97694,-1.37833,-1.57996, 1.42404,-0.34560,-2.03797, 2.20781,-0.43125,-1.00063,-0.86072, 1.53337,-0.55716, 0.02389, 0.60666, 1.00579, 0.59904, 1.16228,-0.40669,-1.04214, 0.69256, 2.28630, 0.85312,-0.03087,-0.39279,-0.08695, 0.94920,-0.69412,-0.68187, 0.94217,-0.31333, 1.60742,-0.82299, 0.16916,-1.00945, 0.10984,-0.85931,-1.19924,-1.40368, 0.19650, 1.38655,cylinder
 1.56928,-0.70331,-0.09383,-0.68084, 0.37080, 0.24109,-0.24062,-0.21785, 0.82363,-0.15436,-0.81885,-0.46820,-0.76785,-0.81341, 0.61621,-1.55409, 0.09207,-1.02564,-1.18465, 0.02934,-0.05978, 6.38158, 3.98146, 5.86252, 7.23656, 4.03947, 5.81085, 4.14053, 4.91548, 6.40544, 6.12456, 5.97736, 4.82891, 5.59379, 5.59903, 4.45329, 5.38124, 6.86287, 4.60293, 6.64992, 6.31889, 6.06078, 5.77970, 4.78659, 5.71229, 3.73843, 4.43503, 5.80117, 5.62538, 6.37973, 7.25952, 6.01056, 7.25123, 7.02537, 7.43829, 6.10631, 7.25851, 5.08539, 5.72351, 4.45343, 6.22492, 6.40316, 5.60002, 6.96087, 6.40966, 4.34404, 6.00543, 5.71481, 5.75149, 5.81053, 6.00110, 5.12379, 6.06874, 5.86621, 4.47495, 6.42742, 4.16033, 5.08810, 5.43373, 6.51435, 4.41423, 5.50510, 5.60608, 5.42764, 6.08976,-2.27828,-1.21638, 0.86837,-0.26906, 0.45312,-0.10629, 1.03639,-0.42921, 1.27176, 1.53078,-0.83652, 1.36381, 1.40277, 0.15643, 0.92477,-1.13963,-0.10009, 0.25410, 0.12075, 0.11418,-0.71489, 1.09563, 0.19755, 0.82173,-0.45867, 1.22869, 0.32258, 0.15266, 0.14361, 1.01248, 0.60269, 0.14143, 0.80312, 1.10972, 0.88407, 1.19870, 0.32178,-0.20756,-1.36005,-0.03329,-0.08944,-1.12899,-0.11357,cylinder
-0.26581, 0.31123,-0.66831, 0.60318,-1.36386,-1.28518,-0.38182, 1.14264,-0.48447,-0.37277,-0.44686,-0.11144, 0.81317,-0.35556,-0.52076, 0.16464, 1.24966,-0.12918, 5.48275, 5.16497, 7.12684, 5.50736, 6.74248, 4.90861, 5.48989, 6.33887, 4.58912, 6.70474, 5.70795, 6.33099, 6.29256, 6.35973, 6.14981, 4.14070, 6.19095, 6.15588, 6.91306, 6.93710, 5.94044, 5.47879, 6.10077, 5.86117, 5.37719, 7.10204, 5.29827, 5.03501, 5.78578, 3.94316, 4.92115, 6.42650, 6.25359, 7.19389, 6.30341, 6.21782, 7.38284, 5.31982, 3.93759, 5.93811, 6.94431, 5.33011, 5.23790, 6.32791, 4.92251, 5.54189, 5.42198, 6.10967, 5.43539, 6.87439, 4.71339, 5.69867, 5.27187, 6.60176, 6.06138, 6.60281, 5.34427, 5.92906, 6.51839, 7.21227, 4.62861, 5.68784, 5.72747, 5.33409, 5.70787, 7.17647, 4.90865, 6.80916, 6.99440, 6.35352, 5.75368, 4.89553, 6.21378, 6.80142, 6.98724, 5.97615, 4.09860, 7.83862, 6.22315, 6.49711, 5.39076, 3.79323, 5.81495, 5.73666, 5.38224, 4.56978, 7.33397, 5.66436, 5.23094, 1.57742, 1.73106,-1.68577, 0.52098,-0.38791, 0.14174,-0.26379, 1.87656, 0.25277, 1.30621,-0.01237,-0.00253, 2.04128, 1.30431, 0.21093,-0.20868, 0.34948,-1.04083, 0.10134, 0.70479, 1.03219,cylinder
